model,dataset,language,M,auroc,aurac,accuracy,avg_entropy,avg_latency_s
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,3,0.6726,0.1626,0.26,0.417,2.564
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,5,0.7063,0.2084,0.26,0.5725,4.263
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,7,0.7321,0.2284,0.26,0.674,5.963
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,10,0.7134,0.2548,0.26,0.7514,8.513
microsoft/phi-1_5,trivia_qa,en,3,0.6465,0.1179,0.09,0.8345,2.351
microsoft/phi-1_5,trivia_qa,en,5,0.699,0.1333,0.09,1.2332,3.915
microsoft/phi-1_5,trivia_qa,en,7,0.6789,0.1253,0.09,1.4963,5.475
microsoft/phi-1_5,trivia_qa,en,10,0.66,0.127,0.09,1.7312,7.81
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,3,0.7969,0.1306,0.12,0.6038,1.226
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,5,0.8565,0.1497,0.12,0.8045,2.036
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,7,0.8736,0.1608,0.12,0.9378,2.846
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,10,0.8769,0.1639,0.12,1.0264,4.06
TinyLlama/TinyLlama-1.1B-Chat-v1.0,bioasq,en,3,0.6277,0.0321,0.08,0.2904,2.888
TinyLlama/TinyLlama-1.1B-Chat-v1.0,bioasq,en,5,0.6114,0.0375,0.08,0.3628,4.806
TinyLlama/TinyLlama-1.1B-Chat-v1.0,bioasq,en,7,0.6325,0.0422,0.08,0.4082,6.724
TinyLlama/TinyLlama-1.1B-Chat-v1.0,bioasq,en,10,0.6474,0.0465,0.08,0.4459,9.606
microsoft/phi-1_5,bioasq,en,3,0.6667,0.0227,0.03,0.483,2.367
microsoft/phi-1_5,bioasq,en,5,0.5893,0.0254,0.03,0.7031,3.937
microsoft/phi-1_5,bioasq,en,7,0.5481,0.0248,0.03,0.8384,5.508
microsoft/phi-1_5,bioasq,en,10,0.6151,0.0301,0.03,0.9419,7.868
Qwen/Qwen1.5-1.8B-Chat,bioasq,en,3,0.4553,0.0164,0.03,0.5067,1.896
Qwen/Qwen1.5-1.8B-Chat,bioasq,en,5,0.3711,0.0167,0.03,0.7411,3.153
Qwen/Qwen1.5-1.8B-Chat,bioasq,en,7,0.3883,0.0173,0.03,0.8196,4.408
Qwen/Qwen1.5-1.8B-Chat,bioasq,en,10,0.4742,0.0239,0.03,0.9288,6.294
TinyLlama/TinyLlama-1.1B-Chat-v1.0,facqa,id,3,0.4512,0.1027,0.21,0.3651,2.966
TinyLlama/TinyLlama-1.1B-Chat-v1.0,facqa,id,5,0.4629,0.1257,0.21,0.4518,4.937
TinyLlama/TinyLlama-1.1B-Chat-v1.0,facqa,id,7,0.4415,0.1302,0.21,0.4938,6.912
TinyLlama/TinyLlama-1.1B-Chat-v1.0,facqa,id,10,0.494,0.1576,0.21,0.5405,9.865
microsoft/phi-1_5,facqa,id,3,0.2734,0.0115,0.04,0.3616,2.38
microsoft/phi-1_5,facqa,id,5,0.2773,0.0133,0.04,0.4666,3.964
microsoft/phi-1_5,facqa,id,7,0.2487,0.0144,0.04,0.514,5.541
microsoft/phi-1_5,facqa,id,10,0.2865,0.0172,0.04,0.5685,7.906
Qwen/Qwen1.5-1.8B-Chat,facqa,id,3,0.555,0.1521,0.47,0.2158,2.266
Qwen/Qwen1.5-1.8B-Chat,facqa,id,5,0.5622,0.1978,0.47,0.2815,3.769
Qwen/Qwen1.5-1.8B-Chat,facqa,id,7,0.5945,0.2222,0.47,0.3171,5.272
Qwen/Qwen1.5-1.8B-Chat,facqa,id,10,0.6098,0.2636,0.47,0.3598,7.526
TinyLlama/TinyLlama-1.1B-Chat-v1.0,wrete,id,3,0.457,0.0681,0.32,0.1447,3.118
TinyLlama/TinyLlama-1.1B-Chat-v1.0,wrete,id,5,0.4297,0.1081,0.32,0.1981,5.191
TinyLlama/TinyLlama-1.1B-Chat-v1.0,wrete,id,7,0.4205,0.1102,0.32,0.1994,7.266
TinyLlama/TinyLlama-1.1B-Chat-v1.0,wrete,id,10,0.4667,0.1414,0.32,0.2194,10.369
microsoft/phi-1_5,wrete,id,3,0.4576,0.1092,0.16,0.6328,2.394
microsoft/phi-1_5,wrete,id,5,0.4111,0.1184,0.16,0.8693,3.982
microsoft/phi-1_5,wrete,id,7,0.4457,0.1223,0.16,1.0188,5.57
microsoft/phi-1_5,wrete,id,10,0.5004,0.1337,0.16,1.1312,7.951
Qwen/Qwen1.5-1.8B-Chat,wrete,id,3,0.4243,0.4664,0.69,0.5461,2.459
Qwen/Qwen1.5-1.8B-Chat,wrete,id,5,0.4928,0.5829,0.69,0.7198,4.09
Qwen/Qwen1.5-1.8B-Chat,wrete,id,7,0.539,0.6288,0.69,0.8205,5.722
Qwen/Qwen1.5-1.8B-Chat,wrete,id,10,0.5082,0.6342,0.69,0.8889,8.169
